C17:1
C18:1
C19:1
C20:1
C21:1
C22:1
C23:1
C24:1
C25:1
C26:1
C27:1
C28:1
D10:1
D8:1
D9:1
DSub1:1
FPC1:1
G:1
H1:1
H2:1
H3:2
H4:1
JP3:1
JP4:1
JP5:1
L3:1
Q4:1
R21:1
R22:1
R3:1
R4:1
